Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core m5-6Y54,910,43.9,1659,https://cpu.userbenchmark.com/SpeedTest/40602/IntelR-CoreTM-m5-6Y54-CPU---110GHz
CPU,,AMD,A10-5757M APU,911,43.8,1314,https://cpu.userbenchmark.com/SpeedTest/7160/AMD-A10-5757M-APU-with-Radeontm-HD-Graphics
CPU,AM973PAEY44AB,AMD,A12-9730P APU (2016 M.BR),912,43.6,360,https://cpu.userbenchmark.com/SpeedTest/236011/AMD-A12-9730P-RADEON-R7-10-COMPUTE-CORES-4C-6G
CPU,AD786KYBJCSBX,AMD,A10-7860K APU (2014 D.Ka),913,43.6,12697,https://cpu.userbenchmark.com/SpeedTest/83781/AMD-A10-7860K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,,AMD,Athlon II X3 445,914,43.6,3120,https://cpu.userbenchmark.com/SpeedTest/1775/AMD-Athlontm-II-X3-445-Processor
CPU,,Intel,Pentium 2117U,915,43.5,5091,https://cpu.userbenchmark.com/SpeedTest/6356/IntelR-PentiumR-CPU-2117U---180GHz
CPU,,AMD,A8-7600 APU (2014 D.Ka),916,43.5,32096,https://cpu.userbenchmark.com/SpeedTest/14050/AMD-A8-7600-Radeon-R7-10-Compute-Cores-4C-6G
CPU,,Intel,Celeron 1037U,917,43.5,2406,https://cpu.userbenchmark.com/SpeedTest/3597/IntelR-CeleronR-CPU-1037U---180GHz
CPU,,Intel,Core2 Quad Q8200,918,43.5,20006,https://cpu.userbenchmark.com/SpeedTest/3754/IntelR-CoreTM2-Quad--CPU---Q8200----233GHz
CPU,,AMD,A8-3800 APU,919,43.4,1498,https://cpu.userbenchmark.com/SpeedTest/7059/AMD-A8-3800-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core m7-6Y75,920,43.3,1960,https://cpu.userbenchmark.com/SpeedTest/55308/IntelR-CoreTM-m7-6Y75-CPU---120GHz
CPU,,AMD,Athlon II X3 440,921,43.3,1922,https://cpu.userbenchmark.com/SpeedTest/5315/AMD-Athlontm-II-X3-440-Processor
CPU,,Intel,Xeon X3220,922,43.2,787,https://cpu.userbenchmark.com/SpeedTest/4801/IntelR-XeonR-CPU-----------X3220----240GHz
CPU,BX80562Q6600,Intel,Core2 Quad Q6600,923,43.1,62545,https://cpu.userbenchmark.com/Intel-Core2-Quad-Q6600/Rating/1980
